,Place,Region,Country,SchoolName,Ownership,Latitude,Longitude,WindSpeed,WindDegree,WindDirection,Gust,Pressure,Precipitation,Temperature,Visibility,Humidity,Cloud,UV
12580,Laela,Rukwa,Tanzania,KAMNYALILE,Government,-8.57,32.05,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12581,Sumbawanga,Rukwa,Tanzania,KAMNYAZYA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12582,Sumbawanga,Rukwa,Tanzania,KAMSAMBA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12583,Sumbawanga,Rukwa,Tanzania,KANCHO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12584,Sumbawanga,Rukwa,Tanzania,KAOZE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12585,Kapenta,Rukwa,Tanzania,KAPENTA,Government,-8.27,32.07,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12586,Mpui,Rukwa,Tanzania,KAPEWA,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12587,Sumbawanga,Rukwa,Tanzania,KASAMVU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12588,Sumbawanga,Rukwa,Tanzania,KASEKELA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12589,Sumbawanga,Rukwa,Tanzania,KAVIFUTI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12590,Sumbawanga,Rukwa,Tanzania,KAWALACHITETE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12591,Kapenta,Rukwa,Tanzania,KAWILA,Government,-8.27,32.07,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12592,Sumbawanga,Rukwa,Tanzania,KAZIKATONTO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12593,Sumbawanga,Rukwa,Tanzania,KAZWILA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12594,Sumbawanga,Rukwa,Tanzania,KIANDA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12595,Sumbawanga,Rukwa,Tanzania,KIFINGA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12596,Sumbawanga,Rukwa,Tanzania,KILEMBO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12597,Sumbawanga,Rukwa,Tanzania,KILYAMATUNDU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12598,Milepa,Rukwa,Tanzania,KINAMBO,Government,-8.07,31.93,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12599,Sumbawanga,Rukwa,Tanzania,KIPETA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12600,Milepa,Rukwa,Tanzania,KISA,Government,-8.07,31.93,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12601,Sumbawanga,Rukwa,Tanzania,KISALALA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12602,Sumbawanga,Rukwa,Tanzania,KITETE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12603,Sumbawanga,Rukwa,Tanzania,KITUKU,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12604,Sumbawanga,Rukwa,Tanzania,KIZUMBI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12605,Muze,Rukwa,Tanzania,KIZUNGU,Government,-7.68,31.55,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12606,Laela,Rukwa,Tanzania,LAELA A,Government,-8.57,32.05,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12607,Sumbawanga,Rukwa,Tanzania,LAELA B,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12608,Sumbawanga,Rukwa,Tanzania,LEGEZA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12609,Sumbawanga,Rukwa,Tanzania,LOWE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12610,Sumbawanga,Rukwa,Tanzania,LULA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12611,Sumbawanga,Rukwa,Tanzania,LUSAKA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12612,Sumbawanga,Rukwa,Tanzania,LWANJI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12613,Mpui,Rukwa,Tanzania,LYANGALILE,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12614,Sumbawanga,Rukwa,Tanzania,LYAPONA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12615,Milepa,Rukwa,Tanzania,MAENJE,Government,-8.07,31.93,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12616,Sumbawanga,Rukwa,Tanzania,MALEZA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12617,Sumbawanga,Rukwa,Tanzania,MALOLWA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12618,Sumbawanga,Rukwa,Tanzania,MFINGA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12619,Sumbawanga,Rukwa,Tanzania,MIANGALUA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12620,Milepa,Rukwa,Tanzania,MILEPA,Government,-8.07,31.93,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12621,Sumbawanga,Rukwa,Tanzania,MITITI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12622,Sumbawanga,Rukwa,Tanzania,MKAMBA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12623,Mpui,Rukwa,Tanzania,MKIMA,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12624,Kaengesa,Rukwa,Tanzania,MKUNDA,Government,-8.18,31.67,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12625,Sumbawanga,Rukwa,Tanzania,MLECHE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
